Customer ID,Gender,Age,Salary,Product ID,Price,Purchased
1,Female,49,61000,P01,2000,1
2,Male,36,30000,P02,2000,1
3,Female,26,81000,P02,3500,1
4,Female,32,74000,P01,7000,0
5,Female,42,56000,P01,5000,0
6,Male,32,92000,P02,3500,1
7,Female,40,73000,P01,7000,0
8,Female,39,20000,P02,2000,0
9,Female,21,47000,P03,3500,0
10,Male,49,38000,P01,2000,1
11,Female,31,40000,P03,5000,1
12,Male,30,34000,P03,2000,0
13,Female,52,49000,P01,2000,0
14,Male,35,99000,P02,5000,1
15,Male,47,41000,P02,3500,0
16,Male,24,93000,P01,5000,1
17,Male,54,30000,P03,5000,0
18,Female,33,66000,P01,7000,0
19,Male,25,39000,P02,7000,0
20,Male,64,47000,P03,5000,0
21,Female,42,100000,P03,7000,0
22,Male,20,77000,P02,3500,1
23,Male,18,54000,P03,2000,0
24,Male,25,51000,P02,3500,1
25,Female,21,35000,P01,3500,0
26,Female,53,23000,P01,2000,0
27,Female,60,52000,P03,5000,0
28,Female,29,20000,P02,2000,0
29,Male,43,88000,P03,5000,1
30,Male,26,28000,P02,5000,0
31,Female,22,70000,P03,2000,1
32,Male,23,43000,P02,7000,0
33,Female,63,91000,P02,7000,0
34,Female,57,78000,P01,2000,0
35,Male,41,81000,P01,5000,1
36,Female,43,87000,P03,5000,1
37,Male,64,58000,P02,2000,0
38,Female,41,72000,P02,2000,1
39,Male,22,20000,P02,7000,0
40,Male,30,36000,P01,3500,0
41,Female,28,67000,P02,7000,0
42,Female,54,45000,P03,2000,1
43,Male,39,90000,P03,3500,1
44,Female,55,26000,P03,7000,0
45,Male,60,31000,P03,7000,0
46,Female,36,67000,P02,5000,1
47,Male,38,21000,P03,7000,0
48,Female,19,28000,P01,3500,0
49,Female,33,57000,P01,7000,0
50,Male,32,71000,P03,3500,1
51,Female,20,56000,P03,5000,1
52,Female,43,95000,P01,5000,1
53,Female,34,48000,P03,7000,0
54,Female,56,51000,P03,7000,0
55,Male,58,39000,P01,2000,0
56,Male,54,24000,P03,2000,0
57,Male,33,64000,P03,5000,0
58,Male,23,35000,P01,2000,0
59,Male,56,95000,P03,5000,1
60,Male,53,53000,P02,2000,1
61,Female,36,64000,P01,2000,0
62,Female,46,68000,P01,7000,0
63,Female,35,87000,P03,5000,1
64,Female,43,46000,P01,3500,0
65,Female,36,28000,P02,5000,0
66,Male,61,84000,P03,7000,0
67,Male,63,61000,P01,5000,1
68,Female,50,33000,P02,2000,1
69,Female,59,81000,P01,3500,1
70,Female,59,79000,P03,3500,1
71,Female,35,73000,P02,5000,1
72,Female,64,27000,P03,3500,0
73,Female,45,67000,P02,7000,0
74,Female,31,82000,P01,5000,1
75,Female,60,78000,P02,3500,1
76,Female,37,95000,P02,3500,1
77,Female,50,38000,P02,7000,0
78,Male,58,83000,P02,2000,1
79,Male,61,47000,P01,2000,0
80,Male,44,85000,P03,2000,1
81,Male,40,72000,P01,2000,1
82,Male,33,96000,P01,7000,0
83,Female,51,31000,P02,3500,1
84,Female,35,54000,P03,2000,1
85,Female,26,29000,P02,5000,0
86,Female,23,74000,P01,5000,1
87,Male,44,72000,P02,3500,1
88,Male,18,51000,P01,3500,0
89,Male,49,62000,P01,3500,0
90,Female,40,73000,P01,2000,0
91,Male,54,25000,P03,2000,0
92,Male,37,90000,P02,2000,1
93,Male,18,79000,P02,3500,1
94,Female,24,93000,P01,3500,1
95,Male,39,37000,P02,3500,1
96,Female,52,36000,P03,2000,1
97,Male,20,63000,P01,5000,0
98,Female,29,37000,P03,5000,0
99,Female,27,43000,P02,5000,1
100,Female,37,29000,P03,7000,0
101,Male,62,89000,P03,7000,0
102,Male,38,94000,P03,7000,0
103,Female,20,34000,P03,5000,1
104,Female,38,22000,P01,3500,0
105,Female,40,24000,P02,3500,0
106,Male,29,71000,P03,3500,0
107,Female,32,47000,P03,3500,0
108,Female,39,59000,P02,3500,1
109,Female,51,95000,P03,7000,0
110,Male,45,97000,P02,7000,0
111,Male,40,20000,P03,5000,0
112,Female,21,80000,P02,7000,0
113,Female,56,61000,P01,5000,0
114,Female,37,24000,P01,2000,0
115,Female,28,72000,P02,7000,0
116,Female,18,40000,P02,2000,0
117,Female,38,65000,P03,7000,0
118,Male,45,60000,P03,3500,0
119,Male,33,84000,P02,2000,1
120,Female,63,25000,P01,3500,0
121,Female,21,39000,P01,5000,1
122,Female,33,83000,P02,5000,1
123,Female,39,23000,P02,5000,0
124,Female,37,61000,P02,2000,0
125,Female,58,38000,P03,2000,0
126,Male,35,93000,P03,3500,1
127,Male,32,64000,P02,7000,0
128,Male,60,41000,P03,7000,0
129,Male,54,46000,P01,7000,0
130,Male,50,31000,P03,2000,1
131,Female,59,97000,P02,3500,1
132,Female,56,95000,P02,5000,1
133,Female,39,20000,P01,7000,0
134,Male,56,36000,P02,5000,1
135,Female,24,44000,P01,7000,0
136,Male,61,58000,P02,5000,1
137,Male,62,40000,P03,5000,0
138,Female,26,41000,P02,2000,1
139,Female,27,34000,P03,5000,1
140,Female,20,98000,P03,3500,1
